ROI,Model,Correlation,R²
V3v,ResNet-50,0.1773009253268005,-0.2720993864591178
V3v,EfficientNet,0.20832575492007752,-0.07849274062830956
V3v,SqueezeNet,0.29094546425525003,0.07116686502686598
FBA-2,ResNet-50,0.11619833955752572,-0.34280815640225615
FBA-2,EfficientNet,0.13824972924141538,-0.13786284847828095
FBA-2,SqueezeNet,0.17451890524261868,-0.006974559806039504
